172	at school	in der Schule
172	Monday	Montag
172	what's (= what is)	was ist
173	Stand up and show your word when you hear it.	Steh auf und zeige dein Wort, wenn du es hörst.
173	word	Wort
173	again	wieder, noch einmal
173	it's (= it is)	es ist
173	it's another Monday	wieder so ein Montag
173	not a number one day	kein Spitzentag
173	day	Tag
173	homework planner	Hausaufgabenheft
173	Where is ...? / Where are ...?	Wo ist ...? / Wo sind ...?
173	mobile (= mobile phone)	Mobiltelefon, Handy
173	pocket money	Taschengeld
173	that's (not), that is (not)	das ist (nicht)
173	funny	lustig, witzig, komisch
173	book	Buch
173	apple	Apfel
173	now	jetzt; nun
173	bag	Tasche
173	heavy	schwer
173	it's never in its place	hier: es ist nie an seinem Platz
173	Here's the bus! And it can't wait for us.	Da kommt der Bus! Und er kann nicht auf uns warten.
173	room	Zimmer; Raum
173	right	richtig
173	or	oder
173	wrong	falsch
173	exercise book	Heft
173	at	auf, an, in, bei
173	you're (= you are)	du bist; ihr seid; Sie sind
173	late	(zu) spät
173	dad (informal)	Papa, Vati
173	your	dein(e); euer/eure; Ihr(e)
173	tie	Krawatte
173	bye (informal)/goodbye	tschüss
173	(I'm) sorry.	Entschuldigung. / Tut mir leid.
173	card	Karte
173	great	groß, riesig; hier: großartig, wunderbar
174	thanks, thank you	Danke
174	What about ...? (informal)	Was ist mit ...? hier auch: Wie wäre es mit ...?
174	after	nach
174	idea	Idee, Einfall
174	isn't (= is not)	ist nicht
174	Find the best title for his phone call.	Finde den passendsten Titel für sein Telefongespräch.
174	to	nach; zu
174	number	Zahl; Ziffer; Nummer
174	Who is there? Where are they?	Wer ist darauf zu sehen? Wo sind sie?
174	to say	sagen
174	about	über; von
174	Are you OK? – No, I'm not.	Alles in Ordnung? – Nein.
174	new	neu
174	here	hier
174	went	ging
174	Mr (= Mister)	Herr (Anrede)
174	class	(Schul)klasse
174	too loud	zu laut
174	very	sehr, außerordentlich
174	classmate	Klassenkamerad/in, Mitschüler/in
174	they're (= they are)	sie sind
174	nice	schön, angenehm; nett, freundlich
174	to sit	sitzen
174	he's (= he is)	er ist
174	to be good at ...	gut in ... sein
174	maths (informal, pl)	Mathe(unterricht)
174	let's (= let us)	Lass(t) (uns)
174	to let	lassen
174	to start	anfangen
174	desk	Schreibtisch
174	uniform	Uniform
174	to be	sein
174	question	Frage
174	answer	Antwort
174	lesson	(Unterrichts)stunde
174	then	dann, danach, darauf
174	to ask	fragen
174	tall	groß, hoch (gewachsen)
174	why	warum
174	Indian	Inder/in; indisch
174	mum (informal)	Mama, Mutti
174	to speak	sprechen
174	Greek	Grieche/Griechin; griechisch
174	but	aber
175	Hindi (no pl)	Hindi (Amtssprache in Indien)
175	at home	zu Hause
175	shop	Geschäft, Laden
175	silly	albern, dumm
175	sometimes	manchmal
175	other	andere(r, s)
175	people (no pl)	Leute, Menschen
175	break's over	die Pause ist vorbei
175	more	(noch) mehr, weitere(r, s)
175	George writes a text message to Caroline.	George schreibt eine SMS an Caroline.
175	to have	haben
175	house	Haus
175	Draw your family tree and write about your family.	Zeichne deinen Familienstammbaum und schreibe etwas über deine Familie.
175	German	Deutsche/r; deutsch
175	English	Englisch; englisch
175	library	Bibliothek, Bücherei
175	gym (= gymnasium)	Turnhalle
175	sports ground	Sportplatz
175	IT room	Computerraum
175	assembly hall	(Versammlungs)saal, Aula
175	science lab(oratory)	wissenschaftliches Labor
175	classroom	Klassenzimmer
175	to talk (to)	sprechen, reden (mit)
175	to come	kommen
175	to feel	(sich) fühlen
175	bored	gelangweilt
176	to live	leben; hier: wohnen
176	to go	gehen; fahren
176	together	zusammen
176	to do	machen, tun
176	to have lunch	zu Mittag essen
176	to make	machen; erstellen
176	Turkish	Türkisch; türkisch
176	timetable	Stundenplan
176	Raise your hand when you hear a school subject.	Heb die Hand, wenn du ein Schulfach hörst.
176	dialogue	Gespräch, Dialog
176	to love	lieben, sehr mögen
176	today	heute
176	to hate	hassen, verabscheuen
176	please	bitte
176	to look	aussehen
176	puzzle	Rätsel, Fragespiel
176	to put	setzen; stellen; legen
176	to clean	sauber machen, reinigen, putzen
176	board	Brett; Tafel
176	to give	geben
176	to sit down	sich (hin)setzen
176	to help	helfen
176	to open	öffnen
176	window	Fenster
176	cold	kalt
176	quiet	leise, ruhig
176	phrase	Satz; Ausdruck
176	rule	Regel
176	teacher	Lehrer/in
176	homework (no pl)	Hausaufgabe(n)
176	Play a polite "Simple Simon" like this:	Spiel eine höfliche Variante von „Simple Simon“ so:
177	activity	Aktivität, Tätigkeit
177	pupil	Schüler/in
177	Each pupil writes one paragraph.	Jeder Schüler / jede Schülerin schreibt einen Absatz.
177	to draw	zeichnen
177	of	von
